id;equalizer_name;first;second;third;fourth;fifth;sixth;seventh;eight;ninth;tenth
1;mobile Fish;9;3;3;-11;-2;-11;-12;-14;-1;11
2;Savings Account alarm;-15;-14;15;7;10;14;-9;-15;-10;15
3;Money Market Account;3;1;-15;-2;-15;-6;1;3;-3;-11
4;zero administration;-4;-8;-1;-13;9;4;-9;-4;0;15
5;Canyon HDD;6;-10;-2;-13;-15;14;14;14;2;10
6;access Intelligent;6;-8;-2;6;-12;3;0;10;-14;-10
7;incentivize Tuna copy;-2;1;-9;1;2;-10;-15;15;11;9
8;Markets Chief;3;7;13;-5;-13;2;-9;1;-14;14
9;navigating;8;-7;1;10;3;-4;14;-7;3;1
10;Plastic;9;-10;-13;-15;15;-2;8;-3;-9;-6
