id;group_name;group_description;group_photo;group_photo_content_type
1;Villages uniform PCI;Automotive Tactics architectures;../fake-data/blob/hipster.png;image/png
2;Wisconsin Facilitator Incredible;reinvent;../fake-data/blob/hipster.png;image/png
3;eco-centric Bedfordshire mesh;Configuration UIC-Franc;../fake-data/blob/hipster.png;image/png
4;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;../fake-data/blob/hipster.png;image/png
5;portal calculating Metal;real-time discrete redundant;../fake-data/blob/hipster.png;image/png
6;Synergistic Personal Loan Account Sleek;Borders;../fake-data/blob/hipster.png;image/png
7;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;../fake-data/blob/hipster.png;image/png
8;interfaces;Garden Dale Wallis and Futuna;../fake-data/blob/hipster.png;image/png
9;generating;Computers Small Fresh Gloves back-end;../fake-data/blob/hipster.png;image/png
10;interface;compress lavender Investment Account;../fake-data/blob/hipster.png;image/png
